,period,ann_rets,max_drawdown,calmar_ratio,sharpe
0,3,0.04447715549083986,-0.12535703372099946,0.3548038284778684,0.41019559127758265
1,4,0.029483275875415327,-0.10269985532400043,0.28708196114201573,0.2937969623697456
2,5,-0.03260696612909719,-0.16582543497070917,-0.1966342867416978,-0.2148428919572779
3,6,0.05811588136975909,-0.1333809412793804,0.435713534574848,0.5405379525609244
4,7,-0.023023018533072093,-0.1686608153023385,-0.13650484549005304,-0.13717014081427367
5,8,-0.05287060986790537,-0.13610188129186468,-0.3884634757878666,-0.40321499887245804
