Date,S_DQ_ADJCLOSE
2015-04-16,0.00573870050772761
2015-04-17,0.0044282986375245035
2015-04-20,0.004487872941026054
2015-04-21,0.003028919908507387
2015-04-22,0.003403571370996224
2015-04-23,0.0028771002459172896
2015-04-24,0.0010583695959921334
2015-04-27,0.0006845820035493037
2015-04-28,0.0018633651942744373
2015-04-29,0.0022174776820770466
2015-04-30,0.0019513669157068493
2015-05-04,0.0013892659352764717
2015-05-05,0.0011721110558173022
2015-05-06,0.0015157360487764809
2015-05-07,0.001997074269561373
2015-05-08,0.0016711970196829646
2015-05-11,0.0024604829866384905
2015-05-12,0.001299783983492125
2015-05-13,0.0011724489414917769
2015-05-14,0.0016808481258660372
2015-05-15,0.0019930493574758052
2015-05-18,0.0022165854645034085
2015-05-19,0.0010552588292222157
2015-05-20,0.0010580079872175828
2015-05-21,0.002601607236667592
2015-05-22,0.0021616245149988244
2015-05-25,0.0019905147666356804
2015-05-26,0.002545275365279933
2015-05-27,0.004145395140014558
2015-05-28,0.001297029790581474
2015-05-29,0.0059074203368974405
2015-06-01,0.0027942934777625775
2015-06-02,0.0027850855708874186
2015-06-03,0.0015457060961876358
2015-06-04,0.004339972850899211
2015-06-05,0.005339133854036
2015-06-08,0.0016348136591306359
2015-06-09,0.00153054995632566
2015-06-10,0.0033542980926803134
2015-06-11,0.0035742857152859177
2015-06-12,0.0028968077775739357
2015-06-15,0.0018953478405719726
2015-06-16,0.0035414819966864074
2015-06-17,0.0019232372729578201
2015-06-18,0.0012562670127113523
2015-06-19,0.004245403631128303
2015-06-23,0.0023309996428940907
2015-06-24,0.0016741175796075988
2015-06-25,0.0015709598171482636
2015-06-26,0.006778042934039223
2015-06-29,0.010362015110938101
2015-06-30,0.008517473700064672
2015-07-01,0.0033480608465191537
2015-07-02,0.007009327456002666
2015-07-03,0.003289977021873883
2015-07-06,0.003124703507482374
2015-07-07,0.0053142583275910815
2015-07-08,0.015963614066527233
2015-07-09,0.009846802599759352
2015-07-10,0.0048742799654371925
2015-07-13,0.004777817304460112
2015-07-14,0.002654069602204947
2015-07-15,0.004659715281521829
2015-07-16,0.003306026704385367
2015-07-17,0.004623774628558057
2015-07-20,0.0014131448862248598
2015-07-21,0.0015453835782122105
2015-07-22,0.0012186335429447321
2015-07-23,0.001062950389161904
2015-07-24,0.0009791597300227274
2015-07-27,0.0016594249066727176
2015-07-28,0.01024080163660825
2015-07-29,0.0037034876186006617
2015-07-30,0.0017317805979148197
2015-07-31,0.005117571510846938
2015-08-03,0.0016384379268222157
2015-08-04,0.0027762845712531493
2015-08-05,0.0013196011529022322
2015-08-06,0.0022663608430384553
2015-08-07,0.0014022943012184257
2015-08-10,0.001968249369135553
2015-08-11,0.001097640817702283
2015-08-12,0.0009867636559806824
2015-08-13,0.002938811590997488
2015-08-14,0.001987191991575289
2015-08-17,0.001080037964224943
2015-08-18,0.002230192495197255
2015-08-19,0.00235760331142869
2015-08-20,0.001287868415756059
2015-08-21,0.002369940079226259
2015-08-24,0.002914356568047796
2015-08-25,0.004801260555546665
2015-08-26,0.006410691966120334
2015-08-27,0.006961499962863282
2015-08-28,0.0027989155384484277
2015-08-31,0.0015549314052062358
2015-09-01,0.001627304112157813
2015-09-02,0.0016520666329934367
2015-09-07,0.009341864811390944
2015-09-08,0.005546081841496051
2015-09-09,0.003205717009501169
2015-09-10,0.0012446032315391717
2015-09-11,0.001804851309430823
2015-09-14,0.000982373907987794
2015-09-15,0.002136208034376312
2015-09-16,0.0011493005128395575
2015-09-17,0.000948748719468566
2015-09-18,0.003492054519265954
2015-09-21,0.001991869240145118
2015-09-22,0.001833761847807628
2015-09-23,0.0010890455138619708
2015-09-24,0.0011421378635115178
2015-09-25,0.0020088613055214725
2015-09-28,0.0016971260049087019
2015-09-29,0.0026382938393354014
2015-09-30,0.0026271815257269504
2015-10-08,0.001547315279970328
2015-10-09,0.0010316780112669115
2015-10-12,0.002295908483627775
2015-10-13,0.0013139077840610565
2015-10-14,0.0010610469803266887
2015-10-15,0.0019066473894653049
2015-10-16,0.0025885129499776567
2015-10-19,0.0014677244630368674
2015-10-20,0.0012985984532782084
2015-10-21,0.0021499314663583516
2015-10-22,0.0011159987933927883
2015-10-23,0.0014335817631575644
2015-10-26,0.0031908589963947995
2015-10-27,0.000617712630200504
2015-10-28,0.0012642005365974076
2015-10-29,0.001522536905836044
2015-10-30,0.0012525628569813726
2015-11-02,0.0009600346897938142
2015-11-03,0.0015752028229220295
2015-11-04,0.0002858706584980743
2015-11-05,0.001231357929911053
2015-11-06,0.0019643392165461697
2015-11-09,0.0025020263943699595
2015-11-10,0.0024330203656898666
2015-11-11,0.0010062732345867084
2015-11-12,0.0008348186855656931
2015-11-13,0.0011317494912765388
2015-11-16,0.000804578904292641
2015-11-17,0.0009336651394620179
2015-11-18,0.0027388539128856337
2015-11-19,0.0014330580924166272
2015-11-20,0.0013982269400263406
2015-11-23,0.0013408682166735208
2015-11-24,0.0005559619696793636
2015-11-25,0.0010286460402623046
2015-11-26,0.0021065043561517187
2015-11-27,0.0007369425896981086
2015-11-30,0.002805889926155343
2015-12-01,0.002378523809262563
2015-12-02,0.0018524464735617196
2015-12-03,0.0013337984936643225
2015-12-04,0.0011626450235701182
2015-12-07,0.0010663852353663948
2015-12-08,0.0017884826596653806
2015-12-09,0.0010840932915369274
2015-12-10,0.001051925603756858
2015-12-11,0.0016451590121636128
2015-12-14,0.0007349688431011664
2015-12-15,0.0012591755437477293
2015-12-16,0.0010888362701376372
2015-12-17,0.0018093650361485536
