Date,S_DQ_ADJCLOSE
2015-04-16,0.004391074913404121
2015-04-17,0.002825311149303703
2015-04-20,0.00598237819308227
2015-04-21,0.0017457485607075948
2015-04-22,0.0012952764995009353
2015-04-23,0.0020602555616513717
2015-04-24,0.0018311842896722816
2015-04-27,0.0006034041700911752
2015-04-28,0.004831204326599538
2015-04-29,0.0017874427212431127
2015-04-30,0.0020866877862200915
2015-05-04,0.001967807963276713
2015-05-05,0.0009714415267006901
2015-05-06,0.0016321950808823938
2015-05-07,0.0015141098998712275
2015-05-08,0.0009246070926411909
2015-05-11,0.001388437737865599
2015-05-12,0.0016782807991335405
2015-05-13,0.005511924551359302
2015-05-14,0.002287005312329801
2015-05-15,0.0014627645630320525
2015-05-18,0.0015971984707146031
2015-05-19,0.0018811649642349081
2015-05-20,0.0010445020872696185
2015-05-21,0.0023546078867600667
2015-05-22,0.001625118130256396
2015-05-25,0.0018558544397898986
2015-05-26,0.002000945080149889
2015-05-27,0.0019690174211039325
2015-05-28,0.0024083852681854962
2015-05-29,0.008303456973015395
2015-06-01,0.0013641970984831716
2015-06-02,0.0036614018175183307
2015-06-03,0.0038574856142543686
2015-06-04,0.004095339918975016
2015-06-05,0.003777400333194791
2015-06-08,0.0027424148077112034
2015-06-09,0.002204154734630391
2015-06-10,0.004751199145818645
2015-06-11,0.005389834501981549
2015-06-12,0.001944204291296965
2015-06-15,0.0022396587395251237
2015-06-16,0.0032480337492072847
2015-06-17,0.004498560819320599
2015-06-18,0.004298339629988834
2015-06-19,0.005765373013114491
2015-06-23,0.005722003850021189
2015-06-24,0.002283838720798907
2015-06-25,0.001095408264541961
2015-06-26,0.006906097636013147
2015-06-29,0.01248397698548594
2015-06-30,0.013180103673923632
2015-07-01,0.002899519972278485
2015-07-02,0.02050980034261717
2015-07-03,0.004312646300478163
2015-07-06,0.001448467757577934
2015-07-07,0.00423489877209336
2015-07-08,0.03132298835576239
2015-07-09,0.004494710448118245
2015-07-10,0.0012604613001944934
2015-07-13,0.00707133151726124
2015-07-14,0.015603798625060773
2015-07-15,0.0037512073880682823
2015-07-16,0.007074963327471428
2015-07-17,0.0048418053004741475
2015-07-20,0.0036704385694561427
2015-07-21,0.007760239756387836
2015-07-22,0.0042592534093577935
2015-07-23,0.0041299477201493665
2015-07-24,0.004002044945705443
2015-07-27,0.0049117067382296545
2015-07-28,0.011062814557928725
2015-07-29,0.011542849866293137
2015-07-30,0.00615453582511543
2015-07-31,0.005179930110566202
2015-08-03,0.004245774222387668
2015-08-04,0.003473919958141615
2015-08-05,0.004657556831831039
2015-08-06,0.0019112351394854682
2015-08-07,0.002840458814411411
2015-08-10,0.0034885463691597136
2015-08-11,0.004211919257995234
2015-08-12,0.0004727744945222899
2015-08-13,0.003393407071329548
2015-08-14,0.001849172054507587
2015-08-17,0.0035699296421759573
2015-08-18,0.0021077304138138898
2015-08-19,0.003866512355290576
2015-08-20,0.0036128441185943883
2015-08-21,0.006576576724487768
2015-08-24,0.007783059270104171
2015-08-25,0.008698785895165534
2015-08-26,0.01925540056958006
2015-08-27,0.008110743604446495
2015-08-28,0.005565095332588992
2015-08-31,0.0018758134738468568
2015-09-01,0.001407493235389557
2015-09-02,0.0048889641438223065
2015-09-07,0.0029434071195935164
2015-09-08,0.005005451962941632
2015-09-09,0.005215476345241291
2015-09-10,0.003522502506951684
2015-09-11,0.004435161860976585
2015-09-14,0.00253090682839281
2015-09-15,0.005424304896506072
2015-09-16,0.005071347069120877
2015-09-17,0.002904821663023971
2015-09-18,0.0051145208882376935
2015-09-21,0.0028315474678463188
2015-09-22,0.002462905103162448
2015-09-23,0.002589574687205015
2015-09-24,0.0017543187570619415
2015-09-25,0.00402278511173951
2015-09-28,0.002625842081525405
2015-09-29,0.0031939196749398153
2015-09-30,0.0040316658024505585
2015-10-08,0.002481215893023906
2015-10-09,0.0010204141443574774
2015-10-12,0.00190934839107773
2015-10-13,0.0008708035980538747
2015-10-14,0.002823711363906446
2015-10-15,0.0013176077709194328
2015-10-16,0.0010161152388753793
2015-10-19,0.0018101694675341418
2015-10-20,0.0028877111902264455
2015-10-21,0.0016451098579435882
2015-10-22,0.0021201948212325465
2015-10-23,0.0026957559017583245
2015-10-26,0.0014909392340117
2015-10-27,0.0007265631290948294
2015-10-28,0.0016092919526903154
2015-10-29,0.0030333315043144012
2015-10-30,0.001211360567490611
2015-11-02,0.0033497086128012167
2015-11-03,0.001980918933364905
2015-11-04,0.0006321908605260186
2015-11-05,0.0021119843705838127
2015-11-06,0.001368316248821229
2015-11-09,0.0021396963512218094
2015-11-10,0.0014294034563258054
2015-11-11,0.0026443687930017144
2015-11-12,0.0010730815912919293
2015-11-13,0.0032447360115424933
2015-11-16,0.0011460973283868169
2015-11-17,0.0032915818546470433
2015-11-18,0.0023899036575849865
2015-11-19,0.0011019410681603005
2015-11-20,0.0015806756799386678
2015-11-23,0.0015277976352076818
2015-11-24,0.002957770057426177
2015-11-25,0.0020169636399671857
2015-11-26,0.0010042657149187558
2015-11-27,0.0013485556078153874
2015-11-30,0.003273921419678476
2015-12-01,0.0016584488866112736
2015-12-02,0.002007855365250366
2015-12-03,0.001685791892819976
2015-12-04,0.0011137020201161189
2015-12-07,0.0018337206456377315
2015-12-08,0.0012905346297522138
2015-12-09,0.0015559764742826324
2015-12-10,0.001536148040162782
2015-12-11,0.0016820488455276572
2015-12-14,0.001688527382741954
2015-12-15,0.0008844987173449035
2015-12-16,0.0026855564765792803
2015-12-17,0.0004473450049877246
2015-12-18,0.0013691480553778936
