,thold_s,thold_l,cumrets,ann_rets,max_drawdown,calmar_ratio,sharpe
0,60,35,-0.1489237101990023,-0.03173619347972212,-0.2699272575415201,-0.11757313347593462,-0.5862658581750025
1,65,35,-0.056056185593999275,-0.011471422326387426,-0.16658054206158102,-0.06886411932881514,-0.21365043669158407
2,70,35,-0.011988003236998113,-0.0024091810209435627,-0.10657100933566604,-0.022606345158610444,-0.02722070417568917
3,75,35,0.0317715895440025,0.006275069189246585,-0.10163009740762546,0.06174420126823333,0.16055301138194644
4,80,35,0.04094796186300509,0.008058657535737312,-0.06726465086816369,0.11980523843841832,0.2112939819295896
5,60,40,-0.1312237946820013,-0.027741869706579436,-0.2548638591770252,-0.1088497592250233,-0.5072262196379711
6,65,40,-0.04578494608500028,-0.00932945000826868,-0.1507333726447952,-0.061893725620096283,-0.1700508725625919
7,70,40,0.021453335907002602,0.004254314470999221,-0.09264152411519354,0.04592232815286227,0.11156532223460942
8,75,40,0.03324452417700541,0.0065622125394453334,-0.09541223586874002,0.06877747366148157,0.16419530251263728
9,80,40,0.03925184689500716,0.007729938157681193,-0.0706952933322764,0.10934162365448508,0.20552360025440264
10,60,45,-0.16236128320500398,-0.034813256129476944,-0.2544118698553904,-0.13683817562940384,-0.650216877239268
11,65,45,-0.05216328505800116,-0.010657409702415355,-0.15909607399906164,-0.06698725766468765,-0.20016500759616734
12,70,45,0.031173228273000397,0.006158327119673013,-0.09305224254851682,0.0661813939246236,0.1492918360872497
13,75,45,0.13232306438100094,0.02516570847174049,-0.09112487079028336,0.2761672883976688,0.5537327566655059
14,80,45,0.04527752854200573,0.008895820246629382,-0.07495764625339832,0.1186779560360872,0.2330787827101372
15,60,50,-0.13152300723000565,-0.02780884942259987,-0.21790426735500432,-0.12761957239366206,-0.5255754273671087
16,65,50,-0.04413611598900036,-0.008987321768258894,-0.13662678924456975,-0.0657800846960626,-0.16210421771137223
17,70,50,0.08734236214800295,0.016888326065659154,-0.1010195032864149,0.1671788666172376,0.35946875929384137
18,75,50,0.15812359462800663,0.029795481539603763,-0.09546863201198613,0.3120970826926998,0.6597426466165839
19,80,50,0.08844435150600605,0.017094359813739857,-0.06780342265227446,0.2521164735504164,0.4336386643858301
20,60,55,-0.15664102894800025,-0.033498585867407615,-0.21955764692100402,-0.15257307744539764,-0.6560002788761403
21,65,55,-0.06382188745199935,-0.013103300267621298,-0.15474822570413216,-0.08467496288244297,-0.2550512307106778
22,70,55,0.0938686055159994,0.01810608143171999,-0.09422126927899058,0.1921655436216595,0.392548549423644
23,75,55,0.14257335501899915,0.02701507497099853,-0.09229088799891258,0.292716600270623,0.6120482577066029
24,80,55,0.09158279189100438,0.01768022618606624,-0.05600563592763311,0.3156865535624217,0.4603550742315818
