,0
2015-04-16,0.030867753150000343
2015-04-17,-0.021738511988103282
2015-04-20,0.04776328081076664
2015-04-21,0.015903841118084294
2015-04-22,-0.006804902367775423
2015-04-23,0.00026883765004903637
2015-04-24,0.0037857180144695857
2015-04-27,0.020074168842562967
2015-04-28,-0.03154112446727675
2015-04-29,-0.0045445143155073975
2015-04-30,0.008662675641200712
2015-05-04,-0.015100964665493044
2015-05-05,0.03921295203788433
2015-05-06,-0.034497317123114435
2015-05-07,0.0
2015-05-08,-0.005554582959458099
2015-05-11,0.02228119539100981
2015-05-12,-0.007815769853763421
2015-05-13,0.020067868604265016
2015-05-14,-0.0028109309660032666
2015-05-15,0.0174207566032627
2015-05-18,0.03105732392339
2015-05-19,-0.0145390192160324
2015-05-20,-0.00891868261258566
2015-05-21,0.001766606436698348
2015-05-22,0.04850071559416702
2015-05-25,0.050333658522419444
2015-05-26,-0.0021226936754237258
2015-05-27,-0.009052948746446798
2015-05-28,0.06998833632658319
2015-05-29,-0.0403735623637369
2015-06-01,0.07578614493700386
2015-06-02,-0.008798822018243224
2015-06-03,0.0009115915028938826
2015-06-04,-0.07432652927987793
2015-06-05,-0.07802760119113128
2015-06-08,0.052033039031031736
2015-06-09,0.001781994456017566
2015-06-10,-0.020229677447179517
2015-06-11,0.009066057958223572
2015-06-12,-0.030425758592642516
2015-06-15,-0.030549446373640765
2015-06-16,0.030274378896369303
2015-06-17,-0.018586345957184225
2015-06-18,0.02126037359940658
2015-06-19,0.11108863431890459
2015-06-23,-0.07313137241528855
2015-06-24,0.0015959846029418578
2015-06-25,0.05579897844472126
2015-06-26,0.10892596266602972
2015-06-29,-0.04575796608160465
2015-06-30,0.0417993791516329
2015-07-01,0.06070225689421993
2015-07-02,-0.08150328734136403
2015-07-03,-0.07958038555838975
2015-07-06,0.0
2015-07-07,-0.06211290491682375
2015-07-08,0.05695961082551926
2015-07-09,-0.016937032146296382
2015-07-10,-0.027476907948686624
2015-07-13,-0.02720799132907814
2015-07-14,0.03107266691733468
2015-07-15,-0.032424047541201984
2015-07-16,0.03603478507994673
2015-07-17,0.0069207424201218615
2015-07-20,0.0
2015-07-21,-0.029591873166594618
2015-07-22,-0.007945856267454254
2015-07-23,0.030412062283533325
2015-07-24,0.024685533495119705
2015-07-27,0.08338257607956434
2015-07-28,-0.06619141283888585
2015-07-29,-0.030954710007522035
2015-07-30,-0.034436374869967534
2015-07-31,-0.03985596435836036
2015-08-03,-0.028560566085560013
2015-08-04,0.022191301243207118
2015-08-05,0.004720030399715025
2015-08-06,-0.027749503312541557
2015-08-07,-0.01345583504301151
2015-08-10,0.03459725827545679
2015-08-11,0.0009690392411616511
2015-08-12,0.0
2015-08-13,-0.008393739658968613
2015-08-14,-0.006384368889576608
2015-08-17,-0.004661567492425633
2015-08-18,0.05030082360078625
2015-08-19,-0.04363847004083188
2015-08-20,0.0015080534601512596
2015-08-21,0.02768580780968577
2015-08-24,0.012391058515048847
2015-08-25,0.05269102181216634
2015-08-26,-0.07956441087172827
2015-08-27,0.025934963069241812
2015-08-28,-0.06125012036762123
2015-08-31,-0.0300273093446235
2015-09-01,-0.04795940956696976
2015-09-02,-0.03750095184285274
2015-09-07,-0.039350686893997344
2015-09-08,-0.010779835786481451
2015-09-09,-0.012852174014294948
2015-09-10,-0.0054885648025975176
2015-09-11,-0.003811794611141006
2015-09-14,0.018818813058494532
2015-09-15,-0.012432512443217969
2015-09-16,0.05736520790259236
2015-09-17,-0.023618887150138823
2015-09-18,0.001068644169751165
2015-09-21,0.012323451913704542
2015-09-22,0.004414111818870747
2015-09-23,0.024916976228473997
2015-09-24,0.0013383495860317396
2015-09-25,-0.03693163464358307
2015-09-28,0.0
2015-09-29,0.0037035936504079547
2015-09-30,-0.012267507712844683
2015-10-08,0.029230757184943723
2015-10-09,0.001593269136949349
2015-10-12,0.01736555320768529
2015-10-13,-0.0021463091908018317
2015-10-14,-0.021404921429114543
2015-10-15,0.029522056497579774
2015-10-16,0.0003679884862386462
2015-10-19,0.012929869833321117
2015-10-20,-0.020375531336302988
2015-10-21,-0.03940570398404142
2015-10-22,0.001159519273752574
2015-10-23,0.009906065281474197
2015-10-26,-0.0034366959622129656
2015-10-27,-0.011241592497958086
2015-10-28,-5.723225932052767e-05
2015-10-29,-0.003725865564905062
2015-10-30,-0.003923563265425201
2015-11-02,-0.018020881581776838
2015-11-03,0.0002467684174087825
2015-11-04,0.003481314416673653
2015-11-05,0.0010827046839694265
2015-11-06,0.020871542320232805
2015-11-09,-0.017867886020663137
2015-11-10,-0.016475429928134444
2015-11-11,-0.0057263203956839925
2015-11-12,-0.0005462825287848583
2015-11-13,0.0020061957145214304
2015-11-16,0.002228540475050611
2015-11-17,-0.038705386128749186
2015-11-18,-0.015911425921916078
2015-11-19,-0.026513518303305394
2015-11-20,-0.014918587460742483
2015-11-23,-0.01655694388639506
2015-11-24,-0.010863683318860451
2015-11-25,0.00426977927066341
2015-11-26,-0.014556589519144958
2015-11-27,0.062054548793711195
2015-11-30,-0.010763909943703243
2015-12-01,-0.0022564614440697683
2015-12-02,0.04510051888187183
2015-12-03,0.0033883986636413788
2015-12-04,0.007408019179208303
2015-12-07,-0.004159852208708181
2015-12-08,-0.003058246715913482
2015-12-09,-0.009117761979624439
2015-12-10,-0.02818208947790024
2015-12-11,9.958214772076701e-05
2015-12-14,0.041973305308805164
2015-12-15,-0.018450284172299214
2015-12-16,0.0043925645790086065
2015-12-17,-0.010600296667012787
2015-12-18,0.0013151207605945903
2015-12-21,0.02303040787988686
