Datetime,long,cash
2015-09-01 00:00:00+00:00,0.0,9520934.808700008
2015-09-02 00:00:00+00:00,0.0,9163890.69094001
2015-09-07 00:00:00+00:00,0.0,8803285.297630012
2015-09-08 00:00:00+00:00,0.0,8708387.327740014
2015-09-09 00:00:00+00:00,0.0,8596465.618420018
2015-09-10 00:00:00+00:00,0.0,8549283.359800018
2015-09-11 00:00:00+00:00,0.0,8516695.247560015
2015-09-14 00:00:00+00:00,0.0,8676969.343300017
2015-09-15 00:00:00+00:00,0.0,8569092.813970018
2015-09-16 00:00:00+00:00,0.0,9060660.604780018
2015-09-17 00:00:00+00:00,0.0,8846657.884450011
2015-09-18 00:00:00+00:00,0.0,8856111.813820012
2015-09-21 00:00:00+00:00,0.0,8965249.681900013
2015-09-22 00:00:00+00:00,0.0,9004823.296480015
2015-09-23 00:00:00+00:00,0.0,9229196.264500016
2015-09-24 00:00:00+00:00,0.0,9241548.155500015
2015-09-25 00:00:00+00:00,0.0,8900242.67548001
2015-09-28 00:00:00+00:00,0.0,8900242.67548001
2015-09-29 00:00:00+00:00,0.0,8933205.557740008
2015-09-30 00:00:00+00:00,0.0,8823617.389660006
2015-10-08 00:00:00+00:00,0.0,9081538.407070005
2015-10-09 00:00:00+00:00,0.0,9096007.74193001
2015-10-12 00:00:00+00:00,0.0,9253964.948350012
2015-10-13 00:00:00+00:00,0.0,9234103.07833001
2015-10-14 00:00:00+00:00,0.0,9036447.827470012
2015-10-15 00:00:00+00:00,0.0,9303222.350770013
2015-10-16 00:00:00+00:00,0.0,9306645.829480015
2015-10-19 00:00:00+00:00,0.0,9426979.548640013
2015-10-20 00:00:00+00:00,0.0,9234899.831440011
2015-10-21 00:00:00+00:00,0.0,8870992.102360012
2015-10-22 00:00:00+00:00,0.0,8881278.188680006
2015-10-23 00:00:00+00:00,0.0,8969256.710200002
2015-10-26 00:00:00+00:00,0.0,8938432.101880006
2015-10-27 00:00:00+00:00,0.0,8837949.890620004
2015-10-28 00:00:00+00:00,0.0,8837444.074780002
2015-10-29 00:00:00+00:00,0.0,8804516.946220005
2015-10-30 00:00:00+00:00,0.0,8769971.866960002
2015-11-02 00:00:00+00:00,0.0,8611929.242470002
2015-11-03 00:00:00+00:00,0.0,8614054.394620003
2015-11-04 00:00:00+00:00,0.0,8644042.626370005
2015-11-05 00:00:00+00:00,0.0,8653401.571810007
2015-11-06 00:00:00+00:00,0.0,8834011.40893001
2015-11-09 00:00:00+00:00,0.0,8676166.29997001
2015-11-10 00:00:00+00:00,0.0,8533222.730050012
2015-11-11 00:00:00+00:00,0.0,8484358.762690013
2015-11-12 00:00:00+00:00,0.0,8479723.905730013
2015-11-13 00:00:00+00:00,0.0,8496735.891490012
2015-11-16 00:00:00+00:00,0.0,8515671.211330013
2015-11-17 00:00:00+00:00,0.0,8186068.868950012
